customer_id,recency,frequency,profit,r,f,m,rfm_score,customer_profile,address,postcode,state,country,property_valuation,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
1,7.0,11,3018.09,4,4,3,443,Platinum,060 Morning Avenue,2016,NSW,Australia,10,Female,93,1953-10-12,Health,Mass Customer,Yes,11.0,70.02604996159208,65-79
2,128.0,3,2226.26,1,1,2,112,Bronze,6 Meadow Vale Court,2153,NSW,Australia,10,Male,81,1980-12-16,Financial Services,Mass Customer,Yes,16.0,42.846847103217165,35-49
9,78.0,6,2353.1099999999997,2,3,2,232,Silver,97736 7th Trail,2023,NSW,Australia,12,Female,97,1973-03-10,Argiculture,Affluent Customer,Yes,8.0,50.617027189050546,50-64
12,67.0,7,3540.03,2,3,3,233,Silver,44339 Golden Leaf Alley,4557,QLD,Australia,4,Male,58,1994-07-21,Manufacturing,Mass Customer,No,8.0,29.25313881351922,20-34
13,27.0,7,4337.38,3,3,4,334,Gold,2 Sutherland Street,3799,VIC,Australia,6,Male,38,1955-02-15,Financial Services,High Net Worth,Yes,8.0,68.68173762116072,65-79
14,47.0,3,1713.9,2,1,1,211,Bronze,9 Mcbride Trail,2760,NSW,Australia,8,Female,85,1983-03-25,Financial Services,Affluent Customer,No,6.0,40.57712219442369,35-49
15,35.0,6,1728.3900000000003,3,3,1,331,Gold,9861 New Castle Avenue,2428,NSW,Australia,9,Male,91,2000-07-13,Manufacturing,Mass Customer,No,1.0,23.27354991025632,20-34
19,280.0,2,1736.45,1,1,1,111,Bronze,59 Spaight Circle,2233,NSW,Australia,9,Female,76,2001-04-15,Manufacturing,High Net Worth,No,1.0,22.517887576327492,20-34
20,31.0,4,3608.2799999999997,3,1,3,313,Gold,032 Bartelt Crossing,2444,NSW,Australia,8,Male,72,1980-08-13,Manufacturing,Mass Customer,No,11.0,43.18908547909073,35-49
21,6.0,5,4229.41,4,2,4,424,Platinum,18 Jenna Center,2650,NSW,Australia,7,Male,74,1980-09-20,Manufacturing,Affluent Customer,Yes,16.0,43.08504501282516,35-49
24,17.0,7,3689.35,4,3,3,433,Platinum,3 Cordelia Plaza,2153,NSW,Australia,10,Female,55,1977-12-03,Argiculture,Mass Customer,Yes,15.0,45.883185973967414,35-49
25,5.0,12,5333.66,4,4,4,444,Platinum,28 5th Center,4413,QLD,Australia,3,Male,72,1976-12-02,Financial Services,Mass Customer,Yes,21.0,46.88525993852521,35-49
26,259.0,2,268.2399999999999,1,1,1,111,Bronze,52 Carey Alley,4740,QLD,Australia,5,Female,12,1978-06-10,Financial Services,Mass Customer,Yes,16.0,45.36572154964659,35-49
27,143.0,7,3274.25,1,3,3,133,Bronze,96 Texas Plaza,3218,VIC,Australia,7,Male,37,1978-09-25,Health,Mass Customer,Yes,12.0,45.07276549989882,35-49
28,83.0,6,3366.5600000000004,2,3,3,233,Silver,48 Eagan Avenue,4868,QLD,Australia,4,Male,5,1973-09-30,Health,Affluent Customer,Yes,21.0,50.05849415962489,50-64
29,22.0,9,6175.299999999999,3,4,4,344,Gold,9 Buell Park,4116,QLD,Australia,7,Female,62,1968-06-22,Manufacturing,Mass Customer,No,19.0,55.33170305508476,50-64
31,89.0,4,426.10999999999996,1,1,1,111,Bronze,2294 Pleasure Place,2135,NSW,Australia,12,Female,3,1962-11-24,Telecommunications,High Net Worth,Yes,14.0,60.908819628320344,50-64
32,138.0,7,2823.12,1,3,3,133,Bronze,2951 Petterle Place,2756,NSW,Australia,9,Female,17,1995-04-20,Manufacturing,Affluent Customer,No,4.0,28.505690200611358,20-34
35,92.0,4,3706.5099999999998,1,1,3,113,Bronze,34 Russell Plaza,4127,QLD,Australia,6,Female,40,1963-09-28,Health,High Net Worth,Yes,16.0,60.065544270167884,50-64
37,7.0,9,6338.49,4,4,4,444,Platinum,54 Sage Plaza,4726,QLD,Australia,1,Female,46,1985-12-22,Health,High Net Worth,No,16.0,37.831001466414214,35-49
38,50.0,4,2025.34,2,1,2,212,Silver,90 Lawn Parkway,4805,QLD,Australia,4,Female,37,1955-10-29,Financial Services,Affluent Customer,No,20.0,67.98083342737166,65-79
39,34.0,12,6085.17,3,4,4,344,Gold,38726 Ilene Crossing,2212,NSW,Australia,10,Male,5,1979-04-16,Entertainment,Mass Customer,No,22.0,44.51697037748015,35-49
40,14.0,5,3272.7,4,2,3,423,Platinum,3496 Brown Drive,2207,NSW,Australia,8,Female,91,1981-10-27,Manufacturing,Affluent Customer,No,14.0,41.98440639601578,35-49
41,29.0,8,4531.68,3,4,4,344,Gold,7188 Cody Way,3350,VIC,Australia,9,Male,64,1976-04-14,Health,Mass Customer,No,16.0,47.520454364146545,35-49
42,111.0,4,427.03999999999996,1,1,1,111,Bronze,1 Claremont Park,3931,VIC,Australia,10,Female,24,1977-03-28,Manufacturing,Mass Customer,No,18.0,46.56766272571454,35-49
43,61.0,9,3619.95,2,4,3,243,Silver,60 Eagan Circle,4018,QLD,Australia,8,Female,38,1983-03-01,Retail,Mass Customer,No,5.0,40.642831962591416,35-49
44,35.0,7,4768.28,3,3,4,334,Gold,89314 Eagle Crest Center,4670,QLD,Australia,2,Male,63,1981-10-18,Entertainment,Affluent Customer,Yes,17.0,42.00904755907868,35-49
45,43.0,3,1048.1499999999999,3,1,1,311,Silver,2028 Lakewood Place,2480,NSW,Australia,3,Male,64,1975-09-23,Financial Services,Mass Customer,No,8.0,48.0789873935722,35-49
47,35.0,7,4332.19,3,3,4,334,Gold,543 Killdeer Park,2322,NSW,Australia,4,Male,51,1992-10-22,Health,Affluent Customer,No,2.0,30.9971855769709,20-34
50,26.0,7,4153.41,3,3,4,334,Gold,957 Veith Junction,2047,NSW,Australia,10,Male,38,1980-10-01,Manufacturing,Mass Customer,Yes,16.0,43.05492803574829,35-49
51,55.0,8,4855.400000000001,2,4,4,244,Silver,4853 Gulseth Avenue,4503,QLD,Australia,5,Male,68,1959-12-05,Retail,Mass Customer,No,18.0,63.87944873090288,50-64
53,7.0,5,2950.0699999999997,4,2,3,423,Platinum,62 Steensland Road,4350,QLD,Australia,3,Female,22,1954-04-18,Financial Services,Mass Customer,No,16.0,69.51132344427823,65-79
54,67.0,7,4098.21,2,3,4,234,Silver,6 Homewood Avenue,2142,NSW,Australia,8,Female,2,1966-07-24,Property,Mass Customer,Yes,18.0,57.245500052969724,50-64
55,46.0,8,3220.86,2,4,3,243,Silver,15 Almo Lane,2029,NSW,Australia,10,Male,48,1956-09-24,Financial Services,Affluent Customer,Yes,7.0,67.07458620805846,65-79
56,2.0,7,1275.2399999999998,4,3,1,431,Platinum,690 Glacier Hill Circle,2127,NSW,Australia,10,Male,44,1996-07-04,Property,Mass Customer,Yes,4.0,27.298273210529427,20-34
58,20.0,8,3501.37,3,4,3,343,Gold,18 Elgar Park,2166,NSW,Australia,9,Female,26,1967-07-04,Financial Services,Affluent Customer,Yes,17.0,56.300922135558686,50-64
61,47.0,6,4254.24,2,3,4,234,Silver,44516 Katie Parkway,2765,NSW,Australia,7,Female,47,1959-11-29,Property,High Net Worth,No,13.0,63.89587617294481,50-64
63,68.0,3,2190.05,2,1,2,212,Silver,68150 Boyd Road,2745,NSW,Australia,9,Female,58,1965-07-03,Retail,Mass Customer,Yes,16.0,58.30233215766729,50-64
64,3.0,5,546.6799999999998,4,2,1,421,Platinum,11474 Westend Hill,3752,VIC,Australia,8,Male,73,1978-03-25,IT,High Net Worth,No,4.0,45.5765403891847,35-49
65,136.0,5,3799.97,1,2,3,123,Bronze,308 Jana Crossing,2153,NSW,Australia,10,Male,21,1976-04-01,Financial Services,Affluent Customer,Yes,15.0,47.556047155237394,35-49
66,43.0,4,3333.86,3,1,3,313,Gold,163 Straubel Trail,2217,NSW,Australia,10,Male,46,2002-03-11,Argiculture,High Net Worth,No,1.0,21.614378264021283,20-34
70,4.0,5,2736.9,4,2,2,422,Platinum,9 Bonner Road,2070,NSW,Australia,12,Male,78,1993-02-27,Financial Services,Affluent Customer,No,8.0,30.64673348007637,20-34
71,131.0,1,155.6500000000001,1,1,1,111,Bronze,07041 Briar Crest Lane,2213,NSW,Australia,10,Male,30,1985-01-27,Argiculture,Affluent Customer,Yes,12.0,38.73177287171343,35-49
72,22.0,4,2559.7799999999997,3,1,2,312,Gold,29466 Hanson Pass,4208,QLD,Australia,6,Male,93,1972-02-13,Manufacturing,Affluent Customer,Yes,16.0,51.68754882878305,50-64
75,60.0,8,4979.94,2,4,4,244,Silver,4763 Merchant Avenue,2756,NSW,Australia,8,Female,28,1978-07-15,Property,Mass Customer,No,19.0,45.26989480440199,35-49
76,1.0,8,2868.16,4,4,3,443,Platinum,439 Ridgeway Court,4213,QLD,Australia,9,Female,20,1978-01-23,Retail,High Net Worth,Yes,18.0,45.743552716611,35-49
77,101.0,3,1657.5800000000002,1,1,1,111,Bronze,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Male,79,1989-09-12,Financial Services,Mass Customer,No,7.0,34.10744793690984,35-49
